tamaño_m2,habitaciones,baños,estacionamientos,antigüedad_años,zona,cercania_transporte,precio_miles_mxn
92.4,2,2,0,39,Centro,Alta,1852.06
76.5,2,2,0,16,Centro,Alta,1901.57
96.2,3,1,0,36,Residencial,Baja,1465.81
118.1,3,3,2,38,Periferia,Media,1971.69
74.1,5,3,0,28,Residencial,Alta,1955.77
74.1,5,1,0,35,Centro,Baja,1561.41
119.5,1,1,1,37,Residencial,Alta,1910.4
99.2,1,2,0,38,Centro,Media,1861.28
68.3,5,1,2,49,Periferia,Alta,1569.18
93.6,5,3,0,36,Industrial,Media,1550.3
68.4,4,1,2,34,Residencial,Media,1400.31
68.4,3,2,0,6,Periferia,Alta,1606.31
86.0,1,2,0,26,Periferia,Baja,1106.49
32.2,3,2,0,27,Residencial,Media,1235.06
36.9,3,2,0,21,Periferia,Alta,1093.45
65.9,5,2,2,13,Residencial,Alta,1952.16
54.7,4,1,2,6,Residencial,Alta,1401.62
87.9,2,1,1,36,Centro,Alta,1891.74
57.3,4,1,2,21,Centro,Media,1609.21
44.7,4,1,0,4,Residencial,Baja,1075.7
116.6,3,2,1,1,Centro,Media,2274.6
74.4,4,3,1,26,Centro,Alta,2033.51
81.7,1,1,1,20,Industrial,Alta,1290.17
44.4,3,3,0,37,Periferia,Alta,1207.8
66.4,1,1,2,14,Residencial,Media,1366.46
82.8,2,1,0,20,Periferia,Media,1339.44
51.2,3,3,1,9,Periferia,Alta,1201.15
89.4,2,2,0,22,Centro,Media,2036.88
65.0,3,1,0,38,Periferia,Baja,1006.95
72.7,5,1,2,4,Centro,Media,2014.66
65.0,4,1,2,0,Periferia,Baja,1395.79
126.3,5,3,1,12,Residencial,Media,2571.51
79.7,2,2,0,20,Periferia,Media,1293.26
53.6,4,3,0,25,Periferia,Media,1267.96
100.6,3,3,2,49,Periferia,Media,1669.7
49.5,4,2,0,44,Centro,Alta,1704.57
85.2,1,3,0,20,Periferia,Alta,1468.96
31.0,4,2,0,17,Centro,Alta,1524.14
46.8,1,1,2,36,Centro,Media,1306.63
84.9,4,2,1,44,Centro,Alta,1988.59
98.5,1,1,1,31,Periferia,Baja,1382.4
84.3,2,3,0,35,Residencial,Media,1751.27
77.1,5,3,1,16,Centro,Media,2041.59
72.5,3,1,2,34,Periferia,Alta,1237.56
43.0,4,3,2,48,Residencial,Baja,1257.95
62.0,5,2,1,10,Centro,Baja,1807.62
68.5,3,1,1,20,Residencial,Media,1530.71
106.4,3,3,0,25,Periferia,Alta,1768.95
88.6,1,1,1,3,Periferia,Media,1400.89
35.9,2,2,0,33,Periferia,Alta,698.06
88.1,2,2,0,47,Centro,Alta,1888.23
70.4,5,3,2,17,Residencial,Media,1634.85
63.1,2,2,2,39,Periferia,Media,990.32
95.3,4,1,2,34,Residencial,Media,1941.1
105.8,2,2,2,40,Centro,Baja,2046.42
103.3,5,1,1,28,Periferia,Media,1716.28
59.0,2,1,2,28,Periferia,Media,1094.6
72.3,4,2,1,37,Centro,Alta,1601.87
88.3,1,3,2,41,Periferia,Baja,1456.27
104.4,5,2,1,20,Residencial,Alta,2093.53
68.0,1,1,0,41,Residencial,Baja,1154.03
75.4,1,1,1,12,Periferia,Baja,945.94
52.3,1,2,1,48,Residencial,Alta,1295.36
50.1,3,3,2,40,Industrial,Media,835.92
100.3,3,3,1,16,Residencial,Baja,1756.0
113.9,1,1,0,8,Centro,Media,2102.84
78.2,5,1,0,40,Residencial,Baja,1388.76
105.1,4,3,2,0,Periferia,Baja,2028.63
89.0,4,2,0,1,Industrial,Media,1440.96
63.9,2,1,1,47,Periferia,Alta,1268.06
