usuario_edad,usuario_genero,pelicula_duracion,pelicula_genero,temporada_visita,años_desde_estreno,veces_vista_pelicula,dispositivo_usuario,idioma_preferido,duracion_vista_real,popularidad_streaming,rating_promedio_usuario
56,Femenino,71,Acción,Primavera,1,3454,Móvil,Inglés,51,8270,2.5
46,Masculino,98,Comedia,Verano,5,9820,Móvil,Español,77,1860,4.8
32,Masculino,137,Acción,Primavera,4,7201,Computadora,Inglés,150,6390,3.93
60,Masculino,134,Comedia,Verano,10,4843,Móvil,Español,144,6191,3.39
25,Femenino,152,Comedia,Primavera,6,9051,Smart TV,Español,163,6734,1.62
38,Femenino,95,Comedia,Primavera,8,7114,Móvil,Inglés,54,7265,1.62
56,Femenino,158,Drama,Primavera,3,3512,Móvil,Inglés,172,1466,1.23
36,Masculino,79,Acción,Primavera,7,7925,Computadora,Español,52,5426,4.46
40,Masculino,122,Comedia,Verano,3,1457,Smart TV,Inglés,119,6578,3.4
28,Femenino,148,Drama,Verano,2,3581,Computadora,Español,70,9322,3.83
28,Femenino,128,Comedia,Verano,11,9240,Smart TV,Inglés,90,2685,1.08
41,Femenino,91,Drama,Primavera,1,1866,Computadora,Inglés,97,1769,4.88
53,Femenino,120,Comedia,Primavera,7,8319,Móvil,Español,126,7949,4.33
57,Femenino,117,Acción,Primavera,10,7263,Smart TV,Español,99,3433,1.85
41,Femenino,90,Acción,Primavera,7,2570,Smart TV,Inglés,84,6311,1.73
20,Masculino,91,Comedia,Primavera,10,259,Móvil,Inglés,40,6051,1.73
39,Femenino,169,Drama,Primavera,11,2992,Computadora,Español,148,7420,2.22
19,Masculino,167,Comedia,Primavera,2,5426,Smart TV,Inglés,132,2184,3.1
41,Masculino,99,Drama,Primavera,0,4213,Móvil,Inglés,36,5555,2.73
61,Femenino,94,Comedia,Primavera,12,7849,Móvil,Inglés,36,4385,2.16
47,Femenino,178,Drama,Verano,5,7898,Smart TV,Inglés,68,7396,3.45
55,Masculino,97,Acción,Primavera,4,5099,Smart TV,Español,85,9666,1.56
19,Femenino,134,Comedia,Primavera,7,1670,Smart TV,Español,55,3558,2.17
38,Femenino,114,Acción,Verano,5,9128,Móvil,Inglés,76,8849,2.47
50,Masculino,137,Acción,Verano,3,3505,Computadora,Inglés,80,3047,2.82
29,Masculino,76,Comedia,Primavera,9,5627,Computadora,Español,56,3747,4.14
39,Masculino,118,Comedia,Primavera,9,5948,Smart TV,Inglés,102,1189,1.8
61,Femenino,78,Drama,Primavera,11,6917,Móvil,Inglés,66,3734,3.06
42,Masculino,105,Drama,Verano,11,1727,Móvil,Inglés,74,4005,3.37
44,Femenino,152,Acción,Verano,10,6243,Smart TV,Inglés,102,5658,1.19
59,Masculino,70,Drama,Verano,1,8496,Móvil,Inglés,43,2899,3.43
45,Masculino,79,Drama,Primavera,7,6658,Móvil,Español,78,8734,1.68
33,Masculino,105,Comedia,Primavera,4,5372,Móvil,Inglés,59,2267,1.26
32,Femenino,142,Drama,Primavera,11,7981,Smart TV,Inglés,72,2528,4.8
64,Femenino,178,Acción,Verano,7,9083,Smart TV,Inglés,159,4556,4.86
61,Masculino,115,Drama,Primavera,4,3847,Smart TV,Español,67,4890,4.23
20,Masculino,175,Acción,Verano,5,9397,Computadora,Inglés,171,9838,2.22
54,Masculino,101,Comedia,Primavera,12,9382,Computadora,Inglés,56,6393,1.39
24,Femenino,101,Acción,Primavera,9,1707,Smart TV,Español,87,9792,3.74
38,Masculino,75,Drama,Verano,4,5174,Móvil,Español,25,9433,2.76
26,Femenino,117,Comedia,Primavera,10,7253,Móvil,Español,71,8513,1.49
56,Masculino,107,Drama,Verano,2,6833,Smart TV,Español,61,3612,2.98
35,Masculino,86,Comedia,Primavera,9,166,Móvil,Inglés,81,8041,1.14
21,Masculino,143,Comedia,Verano,7,8100,Móvil,Inglés,153,7235,4.64
42,Masculino,96,Drama,Primavera,2,7745,Computadora,Inglés,64,6486,2.04
31,Masculino,123,Drama,Verano,3,9570,Móvil,Español,118,8099,3.65
26,Masculino,119,Comedia,Primavera,5,4258,Móvil,Inglés,102,1775,2.25
43,Femenino,104,Comedia,Verano,1,9105,Smart TV,Español,111,9226,3.08
19,Masculino,154,Drama,Primavera,6,502,Computadora,Español,146,4152,3.19
37,Femenino,94,Acción,Primavera,4,8025,Computadora,Inglés,34,2585,1.74
45,Masculino,97,Drama,Primavera,11,4266,Móvil,Español,84,4943,4.88
64,Masculino,84,Comedia,Verano,9,3025,Smart TV,Español,61,8555,4.1
24,Femenino,73,Drama,Primavera,12,3093,Computadora,Inglés,22,4073,4.76
61,Masculino,162,Acción,Verano,4,9378,Computadora,Inglés,81,2021,4.58
25,Femenino,142,Drama,Primavera,4,871,Móvil,Español,147,4843,3.39
64,Femenino,96,Comedia,Primavera,12,7471,Computadora,Inglés,99,8989,4.69
52,Masculino,95,Drama,Primavera,12,9961,Smart TV,Inglés,89,7873,1.35
31,Femenino,88,Comedia,Verano,1,5813,Smart TV,Español,95,6675,1.78
34,Femenino,161,Comedia,Primavera,10,8267,Computadora,Español,152,1161,1.18
53,Masculino,86,Drama,Primavera,12,1656,Smart TV,Inglés,26,5297,2.3
57,Femenino,112,Comedia,Primavera,11,1251,Smart TV,Inglés,59,1995,2.55
21,Masculino,110,Comedia,Verano,9,5414,Móvil,Español,35,8629,2.09
19,Masculino,111,Acción,Verano,8,1317,Computadora,Inglés,41,2016,4.31
23,Masculino,119,Acción,Primavera,2,4044,Computadora,Español,56,8869,2.43
59,Masculino,153,Acción,Primavera,11,8139,Móvil,Español,107,7439,2.12
21,Femenino,178,Acción,Verano,6,2142,Móvil,Inglés,174,8892,3.17
46,Masculino,109,Comedia,Primavera,4,6403,Móvil,Inglés,107,7863,1.56
35,Masculino,108,Drama,Primavera,9,8997,Móvil,Inglés,85,8916,4.21
43,Femenino,92,Comedia,Primavera,9,2769,Smart TV,Inglés,95,9529,1.3
61,Masculino,165,Comedia,Verano,4,2213,Smart TV,Inglés,115,1878,4.95
51,Masculino,121,Comedia,Primavera,3,3077,Móvil,Español,122,5887,4.09
27,Femenino,116,Drama,Primavera,9,4478,Computadora,Inglés,76,5859,1.79
53,Femenino,132,Acción,Primavera,5,7327,Computadora,Español,68,7331,1.02
31,Femenino,166,Comedia,Verano,6,6361,Computadora,Inglés,171,9571,4.26
48,Femenino,179,Comedia,Primavera,6,522,Móvil,Español,109,9684,3.83
32,Femenino,138,Acción,Primavera,10,8822,Smart TV,Inglés,96,8208,3.92
25,Femenino,112,Comedia,Verano,11,190,Smart TV,Inglés,63,6276,4.09
31,Femenino,117,Drama,Primavera,7,3472,Smart TV,Español,97,3062,1.3
40,Masculino,103,Comedia,Primavera,4,6136,Smart TV,Inglés,112,1064,2.43
57,Femenino,109,Comedia,Verano,6,2042,Computadora,Inglés,34,9006,1.46
38,Femenino,144,Acción,Primavera,11,3905,Computadora,Español,146,3568,4.45
33,Femenino,130,Comedia,Verano,3,9532,Smart TV,Español,39,6463,3.49
62,Masculino,119,Comedia,Primavera,8,197,Móvil,Español,70,3027,2.32
35,Masculino,136,Drama,Primavera,4,1579,Smart TV,Inglés,59,3695,1.25
64,Femenino,131,Acción,Primavera,2,4726,Smart TV,Español,118,6258,2.24
41,Femenino,127,Acción,Primavera,4,5247,Móvil,Español,43,6618,2.3
43,Femenino,102,Drama,Primavera,8,3747,Smart TV,Inglés,75,7736,3.92
42,Masculino,144,Comedia,Verano,12,5543,Computadora,Inglés,77,1391,3.55
62,Masculino,85,Acción,Verano,12,179,Móvil,Inglés,34,6892,4.55
58,Femenino,151,Acción,Primavera,10,5677,Móvil,Inglés,138,4561,2.89
46,Masculino,163,Comedia,Primavera,7,2323,Smart TV,Inglés,77,7184,1.48
32,Femenino,117,Comedia,Primavera,0,2669,Computadora,Inglés,56,4099,3.85
62,Masculino,79,Acción,Primavera,4,4618,Computadora,Español,41,7278,4.04
18,Masculino,151,Comedia,Primavera,5,1223,Computadora,Español,116,9392,3.25
42,Femenino,107,Acción,Primavera,12,2723,Smart TV,Inglés,88,4104,4.08
24,Femenino,88,Comedia,Verano,9,1503,Smart TV,Español,27,8215,2.98
26,Femenino,105,Comedia,Primavera,12,2678,Computadora,Español,51,3454,3.09
41,Femenino,128,Drama,Primavera,10,431,Smart TV,Español,82,9996,2.71
18,Masculino,132,Comedia,Primavera,1,7585,Computadora,Español,74,3731,1.1
61,Masculino,146,Drama,Verano,5,839,Smart TV,Inglés,147,9154,1.43
25,Masculino,115,Comedia,Verano,8,8333,Móvil,Inglés,106,6056,1.13
41,Femenino,72,Acción,Primavera,3,5080,Móvil,Español,57,9110,3.55
28,Masculino,143,Acción,Primavera,2,3978,Smart TV,Inglés,81,4840,2.26
34,Femenino,171,Comedia,Verano,8,2049,Smart TV,Español,147,2028,3.03
25,Masculino,134,Comedia,Primavera,1,3560,Computadora,Español,130,8385,4.63
52,Femenino,160,Acción,Verano,11,2228,Móvil,Inglés,124,1502,2.0
52,Femenino,179,Comedia,Primavera,8,4597,Computadora,Español,166,7910,2.64
50,Masculino,77,Drama,Primavera,10,2254,Smart TV,Inglés,69,7938,4.02
22,Femenino,120,Drama,Primavera,9,5330,Computadora,Inglés,90,5488,1.92
59,Femenino,179,Drama,Primavera,10,7544,Computadora,Inglés,98,1206,1.31
