anio,periodo,delegacion_issste,tipo,citas,sexo,fecha
2016,enero a marzo,Aguascalientes,via internet pensionados,490,hombres,2016-03-31
2016,enero a marzo,Baja California Norte,via internet pensionados,973,hombres,2016-03-31
2016,enero a marzo,Baja California Sur,via internet pensionados,675,hombres,2016-03-31
2016,enero a marzo,Campeche,via internet pensionados,956,hombres,2016-03-31
2016,enero a marzo,Chiapas,via internet pensionados,1729,hombres,2016-03-31
2016,enero a marzo,Chihuahua,via internet pensionados,1686,hombres,2016-03-31
2016,enero a marzo,Coahuila,via internet pensionados,1133,hombres,2016-03-31
2016,enero a marzo,Colima,via internet pensionados,270,hombres,2016-03-31
2016,enero a marzo,Durango,via internet pensionados,719,hombres,2016-03-31
2016,enero a marzo,Estado De Mexico,via internet pensionados,3081,hombres,2016-03-31
2016,enero a marzo,Guanajuato,via internet pensionados,930,hombres,2016-03-31
2016,enero a marzo,Guerrero,via internet pensionados,552,hombres,2016-03-31
2016,enero a marzo,Hidalgo,via internet pensionados,939,hombres,2016-03-31
2016,enero a marzo,Jalisco,via internet pensionados,619,hombres,2016-03-31
2016,enero a marzo,Michoacan,via internet pensionados,1378,hombres,2016-03-31
2016,enero a marzo,Morelos,via internet pensionados,619,hombres,2016-03-31
2016,enero a marzo,Nayarit,via internet pensionados,230,hombres,2016-03-31
2016,enero a marzo,Nuevo Leon,via internet pensionados,477,hombres,2016-03-31
2016,enero a marzo,Oaxaca,via internet pensionados,1246,hombres,2016-03-31
2016,enero a marzo,Puebla,via internet pensionados,856,hombres,2016-03-31
2016,enero a marzo,Queretaro,via internet pensionados,216,hombres,2016-03-31
2016,enero a marzo,Quintana Roo,via internet pensionados,638,hombres,2016-03-31
2016,enero a marzo,San Luis Potosi,via internet pensionados,1787,hombres,2016-03-31
2016,enero a marzo,Sinaloa,via internet pensionados,982,hombres,2016-03-31
2016,enero a marzo,Sonora,via internet pensionados,1960,hombres,2016-03-31
2016,enero a marzo,Tabasco,via internet pensionados,861,hombres,2016-03-31
2016,enero a marzo,Tamaulipas,via internet pensionados,1035,hombres,2016-03-31
2016,enero a marzo,Tlaxcala,via internet pensionados,365,hombres,2016-03-31
2016,enero a marzo,Veracruz,via internet pensionados,1762,hombres,2016-03-31
2016,enero a marzo,Yucatan,via internet pensionados,1163,hombres,2016-03-31
2016,enero a marzo,Zacatecas,via internet pensionados,491,hombres,2016-03-31
2016,enero a marzo,Zona Norte,via internet pensionados,1875,hombres,2016-03-31
2016,enero a marzo,Zona Oriente,via internet pensionados,2471,hombres,2016-03-31
2016,enero a marzo,Zona Poniente,via internet pensionados,1590,hombres,2016-03-31
2016,enero a marzo,Zona Sur,via internet pensionados,3380,hombres,2016-03-31
2016,abril a junio,Aguascalientes,via internet pensionados,530,hombres,2016-06-30
2016,abril a junio,Baja California Norte,via internet pensionados,935,hombres,2016-06-30
2016,abril a junio,Baja California Sur,via internet pensionados,660,hombres,2016-06-30
2016,abril a junio,Campeche,via internet pensionados,989,hombres,2016-06-30
2016,abril a junio,Chiapas,via internet pensionados,1967,hombres,2016-06-30
2016,abril a junio,Chihuahua,via internet pensionados,1791,hombres,2016-06-30
2016,abril a junio,Coahuila,via internet pensionados,1134,hombres,2016-06-30
2016,abril a junio,Colima,via internet pensionados,334,hombres,2016-06-30
2016,abril a junio,Durango,via internet pensionados,855,hombres,2016-06-30
2016,abril a junio,Estado De Mexico,via internet pensionados,3211,hombres,2016-06-30
2016,abril a junio,Guanajuato,via internet pensionados,863,hombres,2016-06-30
2016,abril a junio,Guerrero,via internet pensionados,587,hombres,2016-06-30
2016,abril a junio,Hidalgo,via internet pensionados,910,hombres,2016-06-30
2016,abril a junio,Jalisco,via internet pensionados,629,hombres,2016-06-30
2016,abril a junio,Michoacan,via internet pensionados,1167,hombres,2016-06-30
2016,abril a junio,Morelos,via internet pensionados,545,hombres,2016-06-30
2016,abril a junio,Nayarit,via internet pensionados,258,hombres,2016-06-30
2016,abril a junio,Nuevo Leon,via internet pensionados,929,hombres,2016-06-30
2016,abril a junio,Oaxaca,via internet pensionados,1261,hombres,2016-06-30
2016,abril a junio,Puebla,via internet pensionados,947,hombres,2016-06-30
2016,abril a junio,Queretaro,via internet pensionados,190,hombres,2016-06-30
2016,abril a junio,Quintana Roo,via internet pensionados,730,hombres,2016-06-30
2016,abril a junio,San Luis Potosi,via internet pensionados,1897,hombres,2016-06-30
2016,abril a junio,Sinaloa,via internet pensionados,1219,hombres,2016-06-30
2016,abril a junio,Sonora,via internet pensionados,2147,hombres,2016-06-30
2016,abril a junio,Tabasco,via internet pensionados,920,hombres,2016-06-30
2016,abril a junio,Tamaulipas,via internet pensionados,1107,hombres,2016-06-30
2016,abril a junio,Tlaxcala,via internet pensionados,355,hombres,2016-06-30
2016,abril a junio,Veracruz,via internet pensionados,1775,hombres,2016-06-30
2016,abril a junio,Yucatan,via internet pensionados,1203,hombres,2016-06-30
2016,abril a junio,Zacatecas,via internet pensionados,500,hombres,2016-06-30
2016,abril a junio,Zona Norte,via internet pensionados,2057,hombres,2016-06-30
2016,abril a junio,Zona Oriente,via internet pensionados,2579,hombres,2016-06-30
2016,abril a junio,Zona Poniente,via internet pensionados,1580,hombres,2016-06-30
2016,abril a junio,Zona Sur,via internet pensionados,3385,hombres,2016-06-30
2016,julio a septiembre,Aguascalientes,via internet pensionados,495,hombres,2016-09-30
2016,julio a septiembre,Baja California Norte,via internet pensionados,829,hombres,2016-09-30
2016,julio a septiembre,Baja California Sur,via internet pensionados,595,hombres,2016-09-30
2016,julio a septiembre,Campeche,via internet pensionados,930,hombres,2016-09-30
2016,julio a septiembre,Chiapas,via internet pensionados,1829,hombres,2016-09-30
2016,julio a septiembre,Chihuahua,via internet pensionados,1705,hombres,2016-09-30
2016,julio a septiembre,Coahuila,via internet pensionados,1033,hombres,2016-09-30
2016,julio a septiembre,Colima,via internet pensionados,402,hombres,2016-09-30
2016,julio a septiembre,Durango,via internet pensionados,937,hombres,2016-09-30
2016,julio a septiembre,Estado De Mexico,via internet pensionados,3183,hombres,2016-09-30
2016,julio a septiembre,Guanajuato,via internet pensionados,858,hombres,2016-09-30
2016,julio a septiembre,Guerrero,via internet pensionados,495,hombres,2016-09-30
2016,julio a septiembre,Hidalgo,via internet pensionados,906,hombres,2016-09-30
2016,julio a septiembre,Jalisco,via internet pensionados,567,hombres,2016-09-30
